gene2	None	gene9	gene13	gene10	gene14	gene4	gene20	gene11	gene18	gene1	gene6	gene17	gene8	gene12	gene19	gene15	gene7	gene16	gene5	cov1	cov2	trait1	cov3	cov4	PRS
0.0	0.0	0.0	3365.15	540.993	0.0	0.0	0.0	0.0	348.895	872.377	0.0	8030.98	320.14799999999997	0.0	268.431	0.0	0.0	575.065	25088.8	0	-1.6250898749807916	0	8.72657389764146	31.71013733819105	176.532
1797.34	0.0	0.0	970.737	0.0	0.0	0.0	416.185	0.0	0.0	0.0	0.0	17426.7	0.0	0.0	1373.25	0.0	0.0	0.0	22076.4	1	-5.811727376147356	0	9.316141562907449	33.516517058884446	183.48
0.0	0.0	0.0	279.793	0.0	0.0	0.0	0.0	0.0	834.2289999999997	2656.45	0.0	15802.2	684.977	649.622	0.0	278.89799999999997	584.476	489.561	37386.4	1	-1.9632633013272933	0	11.865309810903758	31.843437277745124	-14.3892
0.0	0.0	0.0	501.564	382.792	0.0	0.0	0.0	0.0	0.0	2315.31	0.0	22972.8	0.0	0.0	580.529	0.0	0.0	863.585	23895.1	1	3.728375364826368	0	10.800249513144038	39.01737014820921	34.0783
0.0	1620.36	0.0	0.0	491.14	0.0	489.624	440.925	731.54	0.0	543.7130000000002	0.0	15662.0	0.0	407.348	352.55	0.0	0.0	0.0	38706.7	1	-7.761432431421473	0	10.601949356151524	46.708517587562724	-41.0261
0.0	0.0	0.0	876.183	601.148	618.744	0.0	577.819	309.329	0.0	1672.59	0.0	6728.96	0.0	0.0	0.0	1181.09	0.0	1086.5	38641.3	0	-1.6025338671299394	0	14.298703973958723	38.860179230179746	24.671999999999997
0.0	0.0	0.0	1811.93	0.0	1131.82	0.0	4285.32	0.0	0.0	0.0	0.0	8159.17	0.0	0.0	450.68800000000016	0.0	0.0	1173.97	38734.7	0	1.9582186563175787	1	13.661450877755824	38.083417662914094	-78.5878
0.0	579.731	0.0	0.0	542.094	0.0	0.0	426.306	1541.94	0.0	0.0	0.0	30036.7	436.259	0.0	0.0	2278.4	0.0	507.51599999999996	34348.1	0	1.6875049152936867	0	14.003512352279255	40.83295343277624	94.7351
0.0	0.0	0.0	229.713	0.0	0.0	0.0	0.0	0.0	0.0	526.229	0.0	10574.1	0.0	0.0	0.0	0.0	0.0	0.0	61367.0	0	-3.02013997311289	1	12.130848814702926	30.33244208930581	-159.167
466.499	1231.03	0.0	405.277	811.081	0.0	0.0	905.085	0.0	0.0	991.508	0.0	13182.4	0.0	0.0	534.015	443.971	0.0	1106.54	23310.2	1	-0.7748998501060641	0	8.88405999138135	40.884431620431855	-3.69127
216.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	693.057	0.0	0.0	0.0	7357.65	0.0	0.0	0.0	338.98699999999997	0.0	0.0	41756.8	1	-2.8861367080893308	0	7.8815363897988435	30.061220747307573	-29.8814
0.0	0.0	0.0	2259.65	0.0	0.0	0.0	237.585	0.0	0.0	543.7130000000002	0.0	17877.1	560.906	0.0	0.0	893.929	0.0	794.03	24432.8	1	5.485643429037029	0	9.528524660266456	49.561359571971124	101.87299999999999
0.0	1748.7	0.0	0.0	0.0	2270.44	0.0	340.265	0.0	0.0	0.0	0.0	17051.9	0.0	315.904	700.94	1181.09	0.0	507.51599999999996	38161.7	0	-0.8349514386598699	1	12.24232474585334	28.689369911021352	147.787
0.0	0.0	0.0	0.0	1291.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29387.1	0.0	0.0	0.0	1093.21	559.3919999999998	0.0	35652.6	0	4.032116989871147	0	9.79632308944656	38.85344153475505	66.0724
0.0	1231.03	0.0	4241.33	0.0	453.064	0.0	432.28	0.0	437.276	846.323	0.0	6913.34	401.181	0.0	544.0880000000002	0.0	896.6410000000003	0.0	32366.4	1	-6.131708627306075	0	14.044963056188335	46.28720365401021	80.0671
0.0	0.0	0.0	1662.35	585.8330000000002	1229.94	942.0269999999999	0.0	0.0	0.0	0.0	0.0	27027.6	0.0	0.0	1040.48	0.0	952.7669999999999	438.356	40689.7	0	-6.264093776010604	1	15.16220936662936	25.79432125210849	71.4679
0.0	0.0	0.0	1662.35	1248.13	0.0	489.624	552.19	0.0	0.0	0.0	581.805	8030.98	1467.28	315.904	996.513	0.0	0.0	651.7080000000002	26147.1	0	3.338575172360594	0	10.767751582586188	45.880131640702324	77.21600000000002
1028.34	0.0	1505.47	1784.34	0.0	0.0	762.174	0.0	0.0	0.0	2125.31	0.0	5684.05	0.0	0.0	431.14099999999996	0.0	337.781	0.0	52550.9	1	-1.4215724846194306	1	12.944970033210964	37.72862999428414	-37.2631
0.0	0.0	1658.31	1211.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1016.19	4950.5	553.357	528.5740000000002	0.0	0.0	221.021	302.577	47941.4	0	-6.44302608693311	0	11.721842850226484	36.13694923816007	-143.047
0.0	0.0	0.0	746.2560000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17426.7	0.0	0.0	0.0	0.0	0.0	0.0	35958.4	1	3.4923410275816336	0	9.228305501497696	43.4825119073532	-48.33600000000001
0.0	0.0	0.0	1252.53	0.0	0.0	1777.71	0.0	0.0	0.0	447.778	0.0	6370.44	434.787	0.0	0.0	588.911	396.083	562.53	52380.9	1	-7.250639529512575	1	13.459878531597695	21.58751354599061	9.50014
0.0	1231.03	0.0	584.521	491.14	0.0	0.0	0.0	731.54	1138.17	541.3330000000002	0.0	17138.3	0.0	0.0	0.0	0.0	0.0	1465.54	33922.3	0	8.411728507459639	0	11.315304823330095	42.44496373939211	8.596219999999999
0.0	0.0	701.191	1211.01	242.00799999999998	0.0	289.068	905.085	0.0	0.0	1019.45	0.0	18420.0	0.0	0.0	0.0	0.0	1324.49	595.619	32630.7	1	-6.0567202039284895	0	7.709482473903936	45.50278513968443	67.0933
0.0	0.0	0.0	0.0	601.148	626.763	1128.68	219.19299999999998	309.329	0.0	477.598	0.0	19087.3	0.0	0.0	0.0	0.0	0.0	1151.77	51285.9	0	-7.539033047603954	1	15.367447766251614	36.502298259731134	20.3543
0.0	0.0	915.128	468.036	0.0	0.0	548.388	316.247	0.0	0.0	0.0	0.0	16112.4	0.0	644.575	0.0	0.0	459.973	0.0	30631.9	1	4.089238966316589	0	12.009731806036232	48.0890845615697	119.242
0.0	0.0	0.0	0.0	0.0	1738.12	0.0	0.0	0.0	0.0	0.0	0.0	3470.26	0.0	0.0	0.0	0.0	459.973	0.0	41813.3	1	-3.35598693369957	0	12.548249278130871	41.94410504794823	-57.50899999999999
0.0	0.0	0.0	0.0	0.0	489.228	0.0	0.0	0.0	0.0	534.4490000000002	0.0	17523.3	0.0	0.0	1523.23	0.0	584.476	906.471	23978.4	1	4.7891250408714745	0	8.616574222117674	35.558381024982666	359.776
0.0	0.0	0.0	437.574	0.0	0.0	0.0	0.0	586.5830000000002	1138.17	0.0	0.0	16287.7	684.977	0.0	0.0	0.0	0.0	0.0	47723.3	0	-4.63650963151952	0	12.076097574529559	31.644813521807066	-76.3183
556.694	0.0	0.0	1418.06	0.0	0.0	548.388	2954.88	0.0	0.0	0.0	0.0	16115.7	560.906	376.724	1001.51	0.0	396.083	1109.47	53726.6	0	13.915699131257837	0	10.59069106379404	31.217806657627072	29.9402
314.551	0.0	0.0	540.679	487.837	0.0	0.0	1377.65	693.057	481.61400000000003	0.0	0.0	15257.8	0.0	0.0	544.0880000000002	0.0	589.004	0.0	40415.1	1	1.7924859759804574	0	8.77512442328831	45.37170492937722	13.0927
541.069	1126.24	0.0	0.0	1030.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6553.19	0.0	0.0	459.95	0.0	0.0	0.0	34854.0	0	-4.449865781831997	0	12.544491123010205	37.66251958821724	-26.715
1135.48	0.0	0.0	1116.76	0.0	0.0	0.0	502.51599999999996	0.0	512.9580000000002	0.0	0.0	17426.7	0.0	303.965	644.581	0.0	0.0	923.497	25509.3	1	-4.033782783169493	0	11.830942687509651	48.01974397453287	179.75
0.0	0.0	0.0	443.702	0.0	0.0	0.0	1842.33	0.0	0.0	1320.52	0.0	38674.8	395.556	0.0	1001.51	0.0	0.0	267.872	35198.3	0	7.823271862049028	1	14.692391955933392	22.22955243275113	59.2582
0.0	0.0	0.0	634.99	0.0	0.0	0.0	502.51599999999996	0.0	512.9580000000002	0.0	0.0	8030.98	0.0	0.0	0.0	0.0	589.004	923.497	48780.2	1	1.243803408863799	1	13.495989202569596	31.52191528721313	-144.673
0.0	0.0	0.0	503.379	0.0	0.0	0.0	0.0	942.855	0.0	0.0	0.0	7891.16	501.264	0.0	0.0	0.0	584.476	0.0	20771.6	1	-5.168062669241353	0	11.314976719086669	49.92249045662963	304.931
0.0	0.0	0.0	0.0	197.928	0.0	0.0	707.7860000000003	0.0	6395.16	0.0	0.0	30943.8	0.0	0.0	367.37800000000004	0.0	0.0	0.0	34549.0	1	-1.6168876854916878	1	14.146082346364794	21.35867727201919	-24.837
9180.57	0.0	0.0	614.607	0.0	0.0	0.0	0.0	0.0	581.495	447.778	627.405	4605.66	517.938	0.0	0.0	0.0	546.65	0.0	23760.8	0	4.527386500864068	0	8.454960564536673	33.16628688342656	87.1999
0.0	0.0	0.0	0.0	234.735	489.228	0.0	0.0	511.62300000000016	577.1709999999998	913.0	0.0	13063.8	0.0	578.997	0.0	0.0	0.0	2649.41	39895.5	0	3.0066370016982122	0	14.063253628298412	33.933103262891244	100.061
210.924	0.0	0.0	0.0	0.0	0.0	0.0	369.551	0.0	0.0	1320.52	799.4060000000003	14724.4	0.0	715.439	0.0	586.395	0.0	0.0	20185.4	0	-7.768953845392799	0	10.945881141409753	34.72388235918791	139.855
0.0	0.0	1092.62	853.0369999999997	20857.5	1255.35	318.608	413.76199999999994	424.431	427.92900000000003	8520.42	0.0	4605.66	0.0	407.348	0.0	5024.9	0.0	10022.7	42122.1	1	-3.033791243684882	1	15.430829977273298	22.255493654884734	-87.3521
210.924	0.0	0.0	301.422	0.0	548.2769999999998	0.0	717.73	309.329	0.0	0.0	0.0	12110.8	302.874	1061.91	0.0	253.875	0.0	1521.18	34545.7	0	-7.316381234577942	0	8.032758260323135	43.44305499592409	134.457
308.165	0.0	0.0	0.0	482.457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25382.3	736.801	0.0	0.0	253.875	534.8290000000002	983.809	29004.3	1	-0.016396100055419926	1	15.238878788106765	35.702073366961095	46.3467
0.0	0.0	0.0	0.0	0.0	379.11	289.068	707.7860000000003	0.0	0.0	706.302	837.148	16633.7	320.14799999999997	0.0	0.0	0.0	961.793	0.0	20613.7	1	3.1122546694647286	0	8.675052995560964	34.88943380320422	110.666
0.0	0.0	0.0	425.246	1248.13	0.0	0.0	0.0	0.0	544.9540000000002	1320.52	716.669	16112.4	0.0	578.997	0.0	0.0	0.0	0.0	31994.7	1	-0.002857689904074523	0	13.829281866142844	48.56371913368761	99.5923
0.0	0.0	0.0	382.32099999999997	0.0	0.0	289.068	0.0	0.0	6395.16	825.665	0.0	19906.5	395.556	0.0	268.431	0.0	530.664	551.524	35997.2	1	-8.236734419290674	0	9.035224816294146	49.513341529305656	35.731
308.165	0.0	0.0	0.0	2282.4	783.1080000000003	0.0	0.0	0.0	0.0	1124.97	0.0	11817.2	0.0	0.0	882.825	0.0	559.3919999999998	3041.16	30959.7	1	-2.9284280696404044	0	11.522510083576565	35.4562086295861	23.9768
